# scripturl01 :: http://climexp.knmi.nl/getindices.cgi?STATION=PDO&TYPE=i&WMO=UWData/pdo&id=6aeb2a6f7b3e6976d0d253a9b0def123
# PDO [1] Pacific Decadal Oscillation index
# from <a href="https://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_OC_PDO.htmlTable">SWFSC</a>
# institution :: Southwest Fisheries Science Center
# author :: Nate Mantua
# contact :: nate.mantua@noaa.gov
# source :: https://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_OC_PDO.htmlTable
# reference :: Zhang, Y., J.M. Wallace, D.S. Battisti, 1997: ENSO-like interdecadal variability: 1900-93. J. Climate, 10, 1004-1020. 
# reference :: Mantua, N.J. and S.R. Hare, Y. Zhang, J.M. Wallace, and R.C. Francis, 1997: A Pacific interdecadal climate oscillation with impacts on salmon production. BAMS, 78, 1069-1079.
# data_source :: UKMO Historical SST data set for 1900-81, Reynold's Optimally Interpolated SST (V1) for January 1982-Dec 2001, OI SST Version 2 (V2) beginning January 2002
# history :: retrieved at Mon Oct  4 02:23:51 PM MEST 2021
19000101  0.04
19000201  1.32
19000301  0.49
19000401  0.35
19000501  0.77
19000601  0.65
19000701  0.95
19000801  0.14
19000901  -0.24
19001001  0.23
19001101  -0.44
19001201  1.19
19010101  0.79
19010201  -0.12
19010301  0.35
19010401  0.61
19010501  -0.42
19010601  -0.05
19010701  -0.6
19010801  -1.2
19010901  -0.33
19011001  0.16
19011101  -0.6
19011201  -0.14
19020101  0.82
19020201  1.58
19020301  0.48
19020401  1.37
19020501  1.09
19020601  0.52
19020701  1.58
19020801  1.57
19020901  0.44
19021001  0.7
19021101  0.16
19021201  -1.1
19030101  0.86
19030201  -0.24
19030301  -0.22
19030401  -0.5
19030501  0.43
19030601  0.23
19030701  0.4
19030801  1.01
19030901  -0.24
19031001  0.18
19031101  0.08
19031201  -0.03
19040101  0.63
19040201  -0.91
19040301  -0.71
19040401  -0.07
19040501  -0.22
19040601  -1.53
19040701  -1.58
19040801  -0.64
19040901  0.06
19041001  0.43
19041101  1.45
19041201  0.06
19050101  0.73
19050201  0.91
19050301  1.31
19050401  1.59
19050501  -0.07
19050601  0.69
19050701  0.85
19050801  1.26
19050901  -0.03
19051001  -0.15
19051101  1.11
19051201  -0.5
