year,annual_JPOS
0,38.974999999999824
1,44.14999999999977
2,38.449999999999825
3,39.499999999999815
4,42.94999999999978
5,38.89999999999982
6,42.49999999999979
7,40.77499999999981
8,42.87499999999979
9,44.14999999999977
10,42.34999999999979
11,38.82499999999982
12,38.67499999999983
13,42.424999999999784
14,38.224999999999824
15,39.27499999999982
16,39.124999999999815
17,42.27499999999979
18,43.24999999999978
19,39.57499999999982
20,42.34999999999979
21,39.34999999999982
22,42.27499999999979
23,42.19999999999979
24,38.974999999999824
25,42.49999999999979
26,41.52499999999979
27,42.49999999999979
28,42.27499999999979
29,42.12499999999979
30,42.424999999999784
31,42.12499999999979
32,42.19999999999979
33,39.499999999999815
34,42.12499999999979
35,42.19999999999979
36,41.52499999999979
37,42.34999999999979
38,42.12499999999979
39,42.27499999999979
40,42.94999999999978
41,42.27499999999979
